time (min),LS  14.31 °     ,time (min),LS  25.79 °     ,time (min),LS  34.72 °     ,time (min),LS  42.74 °     ,time (min),LS  51.52 °     ,time (min),LS  59.94 °     ,time (min),LS  69.32 °     ,time (min),LS  79.70 °     ,time (min),LS  90.00 °     ,time (min),LS  100.30 °     ,time (min),LS  110.68 °     ,time (min),LS  121.25 °     ,time (min),LS  132.19 °     ,time (min),LS  142.53 °     ,time (min),LS  152.62 °     ,time (min),LS  163.39 °     ,time (min),dRI     
0.00211666666666667,5.08975133032974E-8,0.00211666666666667,-2.24613770653945E-7,0.00211666666666667,-7.83924614651228E-8,0.00211666666666667,2.28744655401861E-8,0.00211666666666667,1.64139645126816E-8,0.00211666666666667,1.50219489059213E-8,0.00211666666666667,8.81822177936643E-9,0.00211666666666667,1.8406561162251E-8,0.00211666666666667,5.53797021957845E-10,0.00211666666666667,4.62437286565023E-10,0.00211666666666667,7.94429330649156E-9,0.00211666666666667,3.38675213377751E-8,0.00211666666666667,3.21544094942727E-8,0.00211666666666667,1.74908250424676E-9,0.00211666666666667,1.67009252536788E-7,0.00211666666666667,1.65492903672613E-7,6.66666666666667E-5,-4.84936236722078E-8
0.0353307944948389,4.47451684853647E-8,0.0353307944948389,-2.13805095939633E-7,0.0353307944948389,-7.93182074283406E-8,0.0353307944948389,2.07845085313225E-8,0.0353307944948389,1.38405555197601E-8,0.0353307944948389,1.31266525369488E-8,0.0353307944948389,8.07199705792709E-9,0.0353307944948389,1.58588648162896E-8,0.0353307944948389,-1.09858083821684E-9,0.0353307944948389,1.9196753988092E-10,0.0353307944948389,6.84807395301641E-9,0.0353307944948389,3.06078176310061E-8,0.0353307944948389,3.08617457512369E-8,0.0353307944948389,-3.04407405112533E-9,0.0353307944948389,1.64549667514695E-7,0.0353307944948389,1.61381392894226E-7,0.0334012450303411,-5.03700764483556E-8
0.0685449223230112,-1.78758570723634E-8,0.0685449223230112,-2.09351242803893E-7,0.0685449223230112,-7.8657640515476E-8,0.0685449223230112,2.00162639794466E-8,0.0685449223230112,1.28393189617144E-8,0.0685449223230112,1.2617945354988E-8,0.0685449223230112,7.23374298597091E-9,0.0685449223230112,1.51436321927853E-8,0.0685449223230112,-2.27379253836308E-9,0.0685449223230112,9.78655879381143E-11,0.0685449223230112,5.89546928295651E-9,0.0685449223230112,2.89131225552876E-8,0.0685449223230112,3.04718405792035E-8,0.0685449223230112,-5.35420613311508E-9,0.0685449223230112,1.6101745246064E-7,0.0685449223230112,1.48721173809798E-7,0.0667358233940155,-5.19912818908175E-8
0.101759050151183,-6.54345730241471E-8,0.101759050151183,-1.96476058011827E-7,0.101759050151183,-7.70727373460008E-8,0.101759050151183,2.08326797700668E-8,0.101759050151183,1.21536414389732E-8,0.101759050151183,1.26065243896299E-8,0.101759050151183,7.45124222885689E-9,0.101759050151183,1.52139767144863E-8,0.101759050151183,-2.42800303670929E-9,0.101759050151183,4.96193348511773E-11,0.101759050151183,5.8906535556988E-9,0.101759050151183,2.82358115635447E-8,0.101759050151183,2.9766322929131E-8,0.101759050151183,-6.22106714138048E-9,0.101759050151183,1.55572553632353E-7,0.101759050151183,1.40794325551623E-7,0.10007040175769,-5.18184308465758E-8
0.134973177979356,-1.10043275042129E-7,0.134973177979356,-1.79918435047088E-7,0.134973177979356,-7.59665230709701E-8,0.134973177979356,2.15073767256789E-8,0.134973177979356,1.12318008218002E-8,0.134973177979356,1.25951034242717E-8,0.134973177979356,7.49870573587817E-9,0.134973177979356,1.55809409546715E-8,0.134973177979356,-2.58221353505699E-9,0.134973177979356,1.37308176424035E-12,0.134973177979356,5.8325613257461E-9,0.134973177979356,2.79321777927297E-8,0.134973177979356,2.94306937340786E-8,0.134973177979356,-5.64152925714576E-9,0.134973177979356,1.45119791191826E-7,0.134973177979356,1.3867319074494E-7,0.133404980121364,-5.08221917275981E-8
0.168187305807528,-1.16826247883963E-7,0.168187305807528,-1.76801024006779E-7,0.168187305807528,-7.23295118426167E-8,0.168187305807528,2.1686842761426E-8,0.168187305807528,1.08656512162112E-8,0.168187305807528,1.26047412985136E-8,0.168187305807528,7.45197427127838E-9,0.168187305807528,1.56694888121541E-8,0.168187305807528,-2.89427564657414E-9,0.168187305807528,-1.0574255155755E-10,0.168187305807528,5.77446909579192E-9,0.168187305807528,2.75129785628352E-8,0.168187305807528,2.9332825464777E-8,0.168187305807528,-5.32208514719892E-9,0.168187305807528,1.36058476429471E-7,0.168187305807528,1.38138787579977E-7,0.166739558485039,-4.81831926250204E-8
0.2014014336357,-1.23609220725796E-7,0.2014014336357,-1.73683612966437E-7,0.2014014336357,-7.15024025247247E-8,0.2014014336357,2.17688372357544E-8,0.2014014336357,1.04995016106222E-8,0.2014014336357,1.18916241309567E-8,0.2014014336357,7.40524280667717E-9,0.2014014336357,1.57580366696383E-8,0.2014014336357,-3.63786867504821E-9,0.2014014336357,-1.25222408604897E-10,0.2014014336357,5.25961306874169E-9,0.2014014336357,2.71187044192238E-8,0.2014014336357,2.86671561200452E-8,0.2014014336357,-5.23565075797268E-9,0.2014014336357,1.27352552068085E-7,0.2014014336357,1.37211606645072E-7,0.200074136848713,-4.466729388794E-8
0.234615561463872,-1.41130435626222E-7,0.234615561463872,-1.66876967302725E-7,0.234615561463872,-6.86580758476498E-8,0.234615561463872,2.18508317100849E-8,0.234615561463872,1.0121075924408E-8,0.234615561463872,1.24640227371981E-8,0.234615561463872,7.43405237047119E-9,0.234615561463872,1.61256106443575E-8,0.234615561463872,-4.32083577813069E-9,0.234615561463872,1.73320704008767E-10,0.234615561463872,5.14158220987263E-9,0.234615561463872,2.7394202232896E-8,0.234615561463872,2.8652090774028E-8,0.234615561463872,-5.14921636875077E-9,0.234615561463872,1.23661297561828E-7,0.234615561463872,1.37349140270022E-7,0.233408715212388,-4.06611490120362E-8
0.267829689292045,-1.87695559208426E-7,0.267829689292045,-1.52171433870794E-7,0.267829689292045,-6.24828202156872E-8,0.267829689292045,2.22233130974917E-8,0.267829689292045,9.81157348211919E-9,0.267829689292045,1.31284655004848E-8,0.267829689292045,7.30449603809729E-9,0.267829689292045,1.60919035052201E-8,0.267829689292045,-4.46103988677369E-9,0.267829689292045,3.05903188233986E-10,0.267829689292045,5.28926896357412E-9,0.267829689292045,2.85967357247206E-8,0.267829689292045,2.88657041271005E-8,0.267829689292045,-4.99032876347234E-9,0.267829689292045,1.2908443093647E-7,0.267829689292045,1.43735431136319E-7,0.266743293576062,-3.98749393504261E-8
0.301043817120217,-3.01116236173807E-7,0.301043817120217,-1.51395663644312E-7,0.301043817120217,-6.03871908818131E-8,0.301043817120217,2.21072204282033E-8,0.301043817120217,9.50207103983293E-9,0.301043817120217,1.32598969899805E-8,0.301043817120217,7.17493970572483E-9,0.301043817120217,1.60581963660844E-8,0.301043817120217,-4.60124399541519E-9,0.301043817120217,2.91518217655147E-10,0.301043817120217,5.30506903016698E-9,0.301043817120217,2.95225109523742E-8,0.301043817120217,2.89082006730989E-8,0.301043817120217,-4.30579786161373E-9,0.301043817120217,1.36310734830793E-7,0.301043817120217,1.53337854201817E-7,0.300077871939736,-3.94892615256798E-8
0.334257944948389,-2.81636991357233E-7,0.334257944948389,-1.51136997292087E-7,0.334257944948389,-5.95658655241344E-8,0.334257944948389,2.19911277589172E-8,0.334257944948389,8.83963112007299E-9,0.334257944948389,1.31860499625571E-8,0.334257944948389,6.69326824877991E-9,0.334257944948389,1.58062551488995E-8,0.334257944948389,-4.93384168409277E-9,0.334257944948389,2.77133247075934E-10,0.334257944948389,5.25693834543414E-9,0.334257944948389,2.96994060975743E-8,0.334257944948389,2.88482101777892E-8,0.334257944948389,-3.99451038441438E-9,0.334257944948389,1.45145357566091E-7,0.334257944948389,1.59916372668824E-7,0.333412450303411,-3.62366397704122E-8
