concentration (g/mL),data,concentration (g/mL),data Y-Error Max,data Y-Error MaxY-Error MaxStd. Error,concentration (g/mL),data Y-Error Min,data Y-Error MinY-Error MinStd. Error,concentration (g/mL),fit
0.00224545458331704,0.00041303241861415,0.00224545458331704,0.00041303241861415,6.24311180530412E-9,0.00224545458331704,0.00041303241861415,6.24311180530412E-9,0,0.00113555351130253
0.00448863627389073,0.000883599006959072,0.00448863627389073,0.000883599006959072,6.24311180530412E-9,0.00448863627389073,0.000883599006959072,6.24311180530412E-9,0.00224545458331704,0.00131867266948402
0.00697348453104496,0.00132530767573033,0.00697348453104496,0.00132530767573033,6.24311180530412E-9,0.00697348453104496,0.00132530767573033,6.24311180530412E-9,0.00448863627389073,0.00150160648008759
0.00903409067541361,0.00176293472574806,0.00903409067541361,0.00176293472574806,6.24311180530412E-9,0.00903409067541361,0.00176293472574806,6.24311180530412E-9,0.00697348453104496,0.0017042484440249
0.0120909092947841,0.00220517419581512,0.0120909092947841,0.00220517419581512,6.24311180530412E-9,0.0120909092947841,0.00220517419581512,6.24311180530412E-9,0.00903409067541361,0.00187229304127505
0.0138294547796249,0.0026522808473397,0.0138294547796249,0.0026522808473397,6.24311180530412E-9,0.0138294547796249,0.0026522808473397,6.24311180530412E-9,0.0120909092947841,0.00212157974264589
0.0165075771510601,0.00307600818263998,0.0165075771510601,0.00307600818263998,6.24311180530412E-9,0.0165075771510601,0.00307600818263998,6.24311180530412E-9,0.0138294547796249,0.0022633599435245
0.0193295460194349,0.00354668148234747,0.0193295460194349,0.00354668148234747,6.24311180530412E-9,0.0193295460194349,0.00354668148234747,6.24311180530412E-9,0.0165075771510601,0.0024817637031042
0.0245113633573055,0.00439360355597311,0.0245113633573055,0.00439360355597311,6.24311180530412E-9,0.0245113633573055,0.00439360355597311,6.24311180530412E-9,0.0193295460194349,0.002711898094075
0.0288030300289392,0.00365995387169588,0.0288030300289392,0.00365995387169588,6.24311180530412E-9,0.0288030300289392,0.00365995387169588,6.24311180530412E-9,0.0245113633573055,0.00313448076115568
0.0326439402997494,0.00395269106199529,0.0326439402997494,0.00395269106199529,6.24311180530412E-9,0.0326439402997494,0.00395269106199529,6.24311180530412E-9,0.0288030300289392,0.0034844706537587
0.0370568186044693,0.00408258206349291,0.0370568186044693,0.00408258206349291,6.24311180530412E-9,0.0370568186044693,0.00408258206349291,6.24311180530412E-9,0.0326439402997494,0.00379770079425561
0.0435227230191231,0.00401980618159198,0.0435227230191231,0.00401980618159198,6.24311180530412E-9,0.0435227230191231,0.00401980618159198,6.24311180530412E-9,0.0370568186044693,0.00415757565995339
0.04484848305583,0.00405386578044996,0.04484848305583,0.00405386578044996,6.24311180530412E-9,0.04484848305583,0.00405386578044996,6.24311180530412E-9,0.0435227230191231,0.00468487693582677
,,,,,0.04484848305583,0.00479299412722172

