concentration (g/mL),data,concentration (g/mL),data Y-Error Max,data Y-Error MaxY-Error MaxStd. Error,concentration (g/mL),data Y-Error Min,data Y-Error MinY-Error MinStd. Error,concentration (g/mL),fit
0.00231931824237108,0.000447533229086703,0.00231931824237108,0.000447533229086703,1.07465609744395E-8,0.00231931824237108,0.000447533229086703,1.07465609744395E-8,0,0.00130996994585016
0.00453029992058873,0.000881001760335086,0.00453029992058873,0.000881001760335086,1.07465609744395E-8,0.00453029992058873,0.000881001760335086,1.07465609744395E-8,0.00231931824237108,0.00149100892409735
0.00716287875548005,0.00135435756159074,0.00716287875548005,0.00135435756159074,1.07465609744395E-8,0.00716287875548005,0.00135435756159074,1.07465609744395E-8,0.00453029992058873,0.00166359149300384
0.00945454463362694,0.00183395318865754,0.00945454463362694,0.00183395318865754,1.07465609744395E-8,0.00945454463362694,0.00183395318865754,1.07465609744395E-8,0.00716287875548005,0.00186908264915769
0.0116060608997941,0.00228235588677346,0.0116060608997941,0.00228235588677346,1.07465609744395E-8,0.0116060608997941,0.00228235588677346,1.07465609744395E-8,0.00945454463362694,0.00204796319807057
0.0141363637521863,0.00270323637864248,0.0141363637521863,0.00270323637864248,1.07465609744395E-8,0.0141363637521863,0.00270323637864248,1.07465609744395E-8,0.0116060608997941,0.00221590401329192
0.0156136360019445,0.00315011497886875,0.0156136360019445,0.00315011497886875,1.07465609744395E-8,0.0156136360019445,0.00315011497886875,1.07465609744395E-8,0.0141363637521863,0.0024134118299106
0.0161590911448002,0.00359629773810365,0.0161590911448002,0.00359629773810365,1.07465609744395E-8,0.0161590911448002,0.00359629773810365,1.07465609744395E-8,0.0156136360019445,0.00252872328366845
0.0231098476797342,0.00449074679933011,0.0231098476797342,0.00449074679933011,1.07465609744395E-8,0.0231098476797342,0.00449074679933011,1.07465609744395E-8,0.0161590911448002,0.00257129981907158
0.0284962113946676,0.00460169012403283,0.0284962113946676,0.00460169012403283,1.07465609744395E-8,0.0284962113946676,0.00460169012403283,1.07465609744395E-8,0.0231098476797342,0.00311385498239458
0.0337310619652271,0.00378418664000407,0.0337310619652271,0.00378418664000407,1.07465609744395E-8,0.0337310619652271,0.00378418664000407,1.07465609744395E-8,0.0284962113946676,0.00353429827086649
0.0366666652262211,0.00403838851207854,0.0366666652262211,0.00403838851207854,1.07465609744395E-8,0.0366666652262211,0.00403838851207854,1.07465609744395E-8,0.0337310619652271,0.00394291474785149
0.0399621203541756,0.00400958622232124,0.0399621203541756,0.00400958622232124,1.07465609744395E-8,0.0399621203541756,0.00400958622232124,1.07465609744395E-8,0.0366666652262211,0.00417205932481157
0.046325758099556,0.00374597483927735,0.046325758099556,0.00374597483927735,1.07465609744395E-8,0.046325758099556,0.00374597483927735,1.07465609744395E-8,0.0399621203541756,0.00442929253592658
,,,,,0.046325758099556,0.00492601878697985

