concentration (g/mL),data,concentration (g/mL),data Y-Error Max,data Y-Error MaxY-Error MaxStd. Error,concentration (g/mL),data Y-Error Min,data Y-Error MinY-Error MinStd. Error,concentration (g/mL),fit
0.00229166680946946,0.000441641447960293,0.00229166680946946,0.000441641447960293,2.29539698359815E-9,0.00229166680946946,0.000441641447960293,2.29539698359815E-9,0,0.00126726964113426
0.00466666650027037,0.000894505426651229,0.00466666650027037,0.000894505426651229,2.29539698359815E-9,0.00466666650027037,0.000894505426651229,2.29539698359815E-9,0.00229166680946946,0.00145039101628639
0.0070037879049778,0.00136213768873151,0.0070037879049778,0.00136213768873151,2.29539698359815E-9,0.0070037879049778,0.00136213768873151,2.29539698359815E-9,0.00466666650027037,0.0016401713453773
0.00935984868556261,0.00181478620099435,0.00935984868556261,0.00181478620099435,2.29539698359815E-9,0.00935984868556261,0.00181478620099435,2.29539698359815E-9,0.0070037879049778,0.00182692487715066
0.0116969691589475,0.0022539310416163,0.0116969691589475,0.0022539310416163,2.29539698359815E-9,0.0116969691589475,0.0022539310416163,2.29539698359815E-9,0.00935984868556261,0.00201519180838187
0.0142007572576404,0.00273078118117138,0.0142007572576404,0.00273078118117138,2.29539698359815E-9,0.0142007572576404,0.00273078118117138,2.29539698359815E-9,0.0116969691589475,0.00220194533296356
0.0166780296713114,0.00319890370894323,0.0166780296713114,0.00319890370894323,2.29539698359815E-9,0.0166780296713114,0.00319890370894323,2.29539698359815E-9,0.0142007572576404,0.00240201679259134
0.0185340903699398,0.00361513622681208,0.0185340903699398,0.00361513622681208,2.29539698359815E-9,0.0185340903699398,0.00361513622681208,2.29539698359815E-9,0.0166780296713114,0.00259996948067239
0.0239128787070513,0.00451196991307062,0.0239128787070513,0.00451196991307062,2.29539698359815E-9,0.0239128787070513,0.00451196991307062,2.29539698359815E-9,0.0185340903699398,0.0027482826579061
0.0281136371195316,0.00456313203199727,0.0281136371195316,0.00456313203199727,2.29539698359815E-9,0.0281136371195316,0.00456313203199727,2.29539698359815E-9,0.0239128787070513,0.00317808819502877
0.0331628769636154,0.00382813341745649,0.0331628769636154,0.00382813341745649,2.29539698359815E-9,0.0331628769636154,0.00382813341745649,2.29539698359815E-9,0.0281136371195316,0.00351376026333953
0.0343939401209354,0.00405733781826209,0.0343939401209354,0.00405733781826209,2.29539698359815E-9,0.0343939401209354,0.00405733781826209,2.29539698359815E-9,0.0331628769636154,0.00391723264398253
0.0404545441269875,0.00402477034526579,0.0404545441269875,0.00402477034526579,2.29539698359815E-9,0.0404545441269875,0.00402477034526579,2.29539698359815E-9,0.0343939401209354,0.00401560359675636
0.047424241900444,0.00376912575452464,0.047424241900444,0.00376912575452464,2.29539698359815E-9,0.047424241900444,0.00376912575452464,2.29539698359815E-9,0.0404545441269875,0.0044998915551143
,,,,,0.047424241900444,0.00505682263790616

