Concentration (Pre),Concentration (Post)
0.0004345703,0.0004609033
0.000762207,0.0009218066
0.0017316895,0.0018436133
0.002684082,0.0027654199
0.0033566895,0.0036872266
0.0040749512,0.0046090332
0.0065373535,0.0069135498
0.0089929199,0.0092180664
0.0110056152,0.011522583
0.0135727539,0.0138270996
0.0156987305,0.0161316162
0.0174128418,0.0184361328
0.0214401855,0.023045166
0.02559375,0.0276541992
NA,NA
NA,NA
NA,NA
NA,NA
