time (min),LS  13.38 °     ,time (min),LS  25.31 °     ,time (min),LS  34.39 °     ,time (min),LS  42.49 °     ,time (min),LS  51.33 °     ,time (min),LS  59.81 °     ,time (min),LS  69.24 °     ,time (min),LS  79.66 °     ,time (min),LS  90.00 °     ,time (min),LS  100.34 °     ,time (min),LS  110.76 °     ,time (min),LS  121.39 °     ,time (min),LS  132.40 °     ,time (min),LS  142.83 °     ,time (min),LS  153.06 °     ,time (min),LS  164.17 °     ,time (min),dRI     
0,1.37945417331931E-8,0,2.32304904756098E-8,0,9.91197913206137E-9,0,1.10487376193086E-8,0,1.04220899897215E-8,0,1.08819010817764E-8,0,9.94040372851324E-9,0,9.1785862155169E-9,0,9.88746455736485E-9,0,-9.45115907476934E-10,0,8.52011801716107E-9,0,7.47810693206395E-9,0,8.80385681201093E-9,0,7.65947226559858E-9,0,8.23908618302573E-9,0,-6.75727903885653E-9,0,1.98569606655782E-7
0.0332141238195173,6.63383728081245E-9,0.0332141238195173,1.82440593960778E-8,0.0332141238195173,4.45024782108869E-9,0.0332141238195173,6.39409512005757E-9,0.0332141238195173,6.34943515427264E-9,0.0332141238195173,6.41632351459871E-9,0.0332141238195173,6.00175329284005E-9,0.0332141238195173,5.29200414944385E-9,0.0332141238195173,6.22751479874292E-9,0.0332141238195173,-8.47867920867574E-11,0.0332141238195173,5.05578041429353E-9,0.0332141238195173,4.2500328634286E-9,0.0332141238195173,5.06554392219862E-9,0.0332141238195173,4.54624413874829E-9,0.0332141238195173,5.87939881055286E-9,0.0332141238195173,-1.01352961006007E-8,0.0333327434871147,1.94297052890544E-7
0.0664282476390346,6.77236230467951E-9,0.0664282476390346,1.85745746225289E-8,0.0664282476390346,4.30508419973162E-9,0.0664282476390346,5.6450848419098E-9,0.0664282476390346,6.31259119783818E-9,0.0664282476390346,6.09197488431433E-9,0.0664282476390346,5.54189245373516E-9,0.0664282476390346,5.10939477544944E-9,0.0664282476390346,5.7684248299085E-9,0.0664282476390346,-1.92319882786124E-11,0.0664282476390346,4.68187314549141E-9,0.0664282476390346,4.19670396004885E-9,0.0664282476390346,5.03084158049581E-9,0.0664282476390346,3.98461595173103E-9,0.0664282476390346,4.71221511627455E-9,0.0664282476390346,-1.13551099257904E-8,0.0666654869742294,1.91418261711146E-7
0.0996423714585519,6.30502717400444E-9,0.0996423714585519,1.85879551320653E-8,0.0996423714585519,4.15992057837454E-9,0.0996423714585519,4.89607456376204E-9,0.0996423714585519,6.27574724140371E-9,0.0996423714585519,5.76762625403059E-9,0.0996423714585519,5.08203161462898E-9,0.0996423714585519,4.31961617791726E-9,0.0996423714585519,5.30933486107482E-9,0.0996423714585519,4.63228155402688E-11,0.0996423714585519,3.90950205978777E-9,0.0996423714585519,2.87351887117171E-9,0.0996423714585519,4.996139238793E-9,0.0996423714585519,3.4229877647128E-9,0.0996423714585519,3.83852004364293E-9,0.0996423714585519,-1.0445272403783E-8,0.099998230461344,1.90911078644402E-7
0.132856495278069,5.83769204332716E-9,0.132856495278069,1.8601335641603E-8,0.132856495278069,1.92433933361562E-9,0.132856495278069,3.27199192720297E-9,0.132856495278069,3.14245312525458E-9,0.132856495278069,2.78286484252736E-9,0.132856495278069,2.34944838595795E-9,0.132856495278069,1.46328382767237E-9,0.132856495278069,2.19082892201405E-9,0.132856495278069,4.91396231576639E-12,0.132856495278069,1.7864446421766E-9,0.132856495278069,1.55033378229395E-9,0.132856495278069,2.23842869124938E-9,0.132856495278069,2.26338184341618E-9,0.132856495278069,1.86345888858484E-9,0.132856495278069,-1.04628793934139E-8,0.133330973948459,1.8934160608683E-7
0.166070619097587,7.27591111677845E-9,0.166070619097587,2.09122334795571E-8,0.166070619097587,3.98221360024249E-9,0.166070619097587,5.21880887301553E-9,0.166070619097587,5.01364490005981E-9,0.166070619097587,4.74089757626368E-9,0.166070619097587,4.26235737818843E-9,0.166070619097587,3.68353910256095E-9,0.166070619097587,4.09626325891635E-9,0.166070619097587,-3.64948908979999E-11,0.166070619097587,3.58785943576725E-9,0.166070619097587,3.22658817675601E-9,0.166070619097587,4.02967911087883E-9,0.166070619097587,3.69951874492262E-9,0.166070619097587,3.47707342144194E-9,0.166070619097587,-9.54136550675162E-9,0.166663717435573,1.87772133529264E-7
0.199284742917104,7.6375408022702E-9,0.199284742917104,2.13012612554634E-8,0.199284742917104,4.63089799259836E-9,0.199284742917104,5.39482236365568E-9,0.199284742917104,5.39298936468069E-9,0.199284742917104,5.20126111341648E-9,0.199284742917104,4.85363985272765E-9,0.199284742917104,4.76703320577868E-9,0.199284742917104,4.76328868779713E-9,0.199284742917104,-1.26018148079284E-9,0.199284742917104,4.427212021873E-9,0.199284742917104,3.96265993843316E-9,0.199284742917104,4.70254299633566E-9,0.199284742917104,4.13184298091379E-9,0.199284742917104,4.12939190936441E-9,0.199284742917104,-9.80985766170285E-9,0.199996460922688,1.8577961136685E-7
0.232498866736621,7.69099462920058E-9,0.232498866736621,2.02394071098782E-8,0.232498866736621,3.99411666695119E-9,0.232498866736621,4.82272692297374E-9,0.232498866736621,4.538273575469E-9,0.232498866736621,4.751158665104E-9,0.232498866736621,4.12546010153133E-9,0.232498866736621,4.2832090314981E-9,0.232498866736621,4.09993968604884E-9,0.232498866736621,-6.18790643425682E-10,0.232498866736621,3.87080792746531E-9,0.232498866736621,3.49620348602318E-9,0.232498866736621,4.41500077091411E-9,0.232498866736621,3.69680321475034E-9,0.232498866736621,3.62767355320579E-9,0.232498866736621,-1.00783498166541E-8,0.233329204409803,1.82132019819941E-7
0.265712990556138,7.74444845612875E-9,0.265712990556138,1.9177552964293E-8,0.265712990556138,3.35733534130402E-9,0.265712990556138,4.25063148229232E-9,0.265712990556138,3.68355778625732E-9,0.265712990556138,4.30105621679088E-9,0.265712990556138,3.397280350335E-9,0.265712990556138,3.79938485721679E-9,0.265712990556138,3.43659068430129E-9,0.265712990556138,-4.57643977905102E-10,0.265712990556138,3.31440383305896E-9,0.265712990556138,3.02974703361258E-9,0.265712990556138,4.12745854549255E-9,0.265712990556138,3.26176344858689E-9,0.265712990556138,3.12595519704717E-9,0.265712990556138,-1.01574374760525E-8,0.266661947896917,1.77468795415914E-7
0.298927114375656,7.15683158514902E-9,0.298927114375656,1.86015430711724E-8,0.298927114375656,3.79832742184893E-9,0.298927114375656,5.90303411916695E-9,0.298927114375656,5.03336446634704E-9,0.298927114375656,5.01363036305873E-9,0.298927114375656,4.66101390441538E-9,0.298927114375656,4.6544675700932E-9,0.298927114375656,4.86512991885415E-9,0.298927114375656,-2.96497312384521E-10,0.298927114375656,4.2778656331659E-9,0.298927114375656,3.4181166474187E-9,0.298927114375656,4.61765374662868E-9,0.298927114375656,4.28754771172778E-9,0.298927114375656,4.1778942998108E-9,0.298927114375656,-7.31853646825039E-9,0.299994691384032,1.73863403073998E-7
