Concentration (Pre),Concentration (Post)
0.0004367676,0.0005169775
0.0011103516,0.0010339551
0.0021750488,0.0020679102
0.0032580566,0.0031018652
0.00425,0.0041358203
0.0051525879,0.0051697754
0.0079714355,0.0077546631
0.0109460449,0.0103395508
0.013262207,0.0129244385
0.0163532715,0.0155093262
0.0184099121,0.0180942139
0.0209077148,0.0206791016
0.0260678711,0.025848877
0.033958252,0.0310186523
NA,NA
NA,NA
NA,NA
NA,NA
